"dep_com","idp_refugie_last_month","idp_refugie_3_months","food_access_no","mean_existence_access_no","market_access","security_feeling_no","health_access_no","education_access_no","diff_info_access","diff_info_access_no","nutri_programme","enough_water_access_no","pdi_vivant_cond_adeq_no","abris_dommages","procuration_savon","tel_mobile","settlement_assessed_num","ki_num","n","dep_percentage"
"yatenga_zogore",0.25,0.5,0.5,0.5,0.75,0.5,0,0.25,0.25,0.75,1,0,0.5,0,0.5,1,4,4,21,0.19047619047619
"youwarou_bimbere_tama",0,0.333333333333333,0.666666666666667,1,0.333333333333333,1,0.333333333333333,0.666666666666667,0,1,0.666666666666667,0,1,0,0,1,3,3,16,0.1875
"youwarou_deboye",0,0.333333333333333,0,0.333333333333333,0.333333333333333,1,1,1,0,1,0,0.333333333333333,1,0,0,0.666666666666667,3,3,43,0.0697674418604651
"youwarou_dirma",0,0,0.333333333333333,0.333333333333333,0.666666666666667,1,0.333333333333333,1,0,1,0,0,NA,0,0.333333333333333,1,3,3,29,0.103448275862069
"youwarou_dongo",0,0,0.666666666666667,1,0.333333333333333,1,0,1,0,1,0.666666666666667,0,NA,0,0,1,3,3,18,0.166666666666667
"youwarou_farimake",0.333333333333333,0.666666666666667,0,0.333333333333333,0.666666666666667,1,0.333333333333333,0.333333333333333,0,1,0.666666666666667,0.333333333333333,1,0,0,0.666666666666667,3,3,35,0.0857142857142857
"youwarou_n_dodjiga",0,0.333333333333333,0,0.666666666666667,0.333333333333333,1,0,1,0,1,0.666666666666667,0,1,0,0.333333333333333,1,3,3,61,0.0491803278688525
"youwarou_youwarou",0,0,0.666666666666667,0.666666666666667,0.333333333333333,1,0.333333333333333,0.333333333333333,0,1,0.666666666666667,0.333333333333333,1,0,0.333333333333333,1,3,3,31,0.0967741935483871
"zondoma_bassi",0,0,0.5,0,1,0,0,0,0,1,1,0,1,0,0.25,1,4,4,15,0.266666666666667
"zondoma_boussou",0,0,0,0,1,0,0,0,0.333333333333333,0.666666666666667,1,0,0,0,0.333333333333333,0.666666666666667,3,4,20,0.15
"zondoma_gourcy",0.142857142857143,0.142857142857143,0.142857142857143,0,1,0.142857142857143,0,0,0.142857142857143,0.857142857142857,1,0.142857142857143,0.666666666666667,0,0.142857142857143,1,7,7,NA,NA
"zondoma_leba",0,0,0.5,0,1,0.5,0,0,0,1,1,0.5,1,0,0.5,1,2,2,15,0.133333333333333
"zondoma_tougo",0,0,1,0,1,0.5,0,0,0,1,1,0.5,NA,0,0.5,1,2,2,24,0.0833333333333333
