reg_dep;idp_refugie_last_month;idp_refugie_3_months;food_access_no;mean_existence_access_no;market_access;security_feeling_no;health_access_no;education_access_no;diff_info_access;diff_info_access_no;nutri_programme;enough_water_access_no;pdi_vivant_cond_adeq_no;abris_dommages;procuration_savon;tel_mobile;settlement_assessed_num;ki_num;n;dep_percentage
tillaberi_gotheye;0,00000000;0,00000000;0,79310345;0,34482759;1,0000000;0,20689655;0,00000000;0,06896552;0,13793103;0,8620690;0,79310345;0,75862069;NA;0,03448276;0,55172414;0,75862069;29; 61;451;0,06430155
tillaberi_ouallam;0,02777778;0,06944444;0,62500000;0,48611111;1,0000000;0,27777778;0,01388889;0,11111111;0,19444444;0,8055556;0,86111111;0,43055556;0,6666667;0,02777778;0,55555556;0,63888889;72;103;985;0,07309645
tillaberi_say;0,00000000;0,00000000;0,37037037;0,07407407;1,0000000;0,07407407;0,03703704;0,03703704;0,11111111;0,8888889;0,85185185;0,25925926;NA;0,14814815;0,37037037;0,81481481;27; 41;378;0,07142857
tillaberi_tera;0,00000000;0,00000000;0,52054795;0,32876712;0,9863014;0,27397260;0,01369863;0,23287671;0,24657534;0,7397260;0,84931507;0,49315068;1,0000000;0,00000000;0,65753425;0,71232877;73;115;673;0,10846954
tillaberi_tillaberi;0,00000000;0,03773585;0,50943396;0,26415094;1,0000000;0,26415094;0,00000000;0,05660377;0,18867925;0,8113208;0,92452830;0,50943396;1,0000000;0,05660377;0,32075472;0,64150943;53;105;547;0,09689214
tillaberi_torodi;0,00000000;0,00000000;0,51851852;0,33333333;1,0000000;0,40740741;0,00000000;0,33333333;0,03703704;0,9629630;0,62962963;0,48148148;1,0000000;0,03703704;0,59259259;0,96296296;27; 39;346;0,07803468
tombouctou_dire;0,00000000;0,04761905;0,33333333;0,33333333;0,6190476;0,23809524;0,42857143;0,23809524;0,04761905;0,9523810;0,52380952;0,04761905;0,0000000;0,00000000;0,38095238;0,42857143;21; 21;121;0,17355372
tombouctou_goundam;0,10344828;0,27586207;0,48275862;0,44827586;0,3793103;0,62068966;0,58620690;0,51724138;0,31034483;0,6896552;0,24137931;0,34482759;0,7777778;0,00000000;0,58620690;0,06896552;29; 29;178;0,16292135
tombouctou_gourma_rharous;0,21739130;0,39130435;0,52173913;0,47826087;0,5652174;0,52173913;0,43478261;0,30434783;0,30434783;0,6956522;0,30434783;0,34782609;0,4615385;0,00000000;0,52173913;0,34782609;23; 24;171;0,13450292
tombouctou_niafunke;0,00000000;0,00000000;0,46666667;0,53333333;0,6666667;1,00000000;0,26666667;0,83333333;0,00000000;1,0000000;0,73333333;0,70000000;1,0000000;0,00000000;0,03333333;1,00000000;30; 30;345;0,08695652
tombouctou_tombouctou;0,00000000;0,06250000;0,18750000;0,25000000;0,6875000;0,31250000;0,43750000;0,25000000;0,25000000;0,7500000;0,43750000;0,12500000;0,0000000;0,00000000;0,37500000;0,31250000;16; 16;124;0,12903226
