"reg_dep","idp_refugie_last_month","idp_refugie_3_months","food_access_no","mean_existence_access_no","market_access","security_feeling_no","health_access_no","education_access_no","diff_info_access","diff_info_access_no","nutri_programme","enough_water_access_no","pdi_vivant_cond_adeq_no","abris_dommages","procuration_savon","tel_mobile","settlement_assessed_num","ki_num","n","dep_percentage"
"centre_nord_bam",0.0909090909090909,0.181818181818182,0.121212121212121,0.0303030303030303,1,0.121212121212121,0,0.0606060606060606,0.0606060606060606,0.939393939393939,1,0.333333333333333,0.333333333333333,0.0303030303030303,0,0.96969696969697,33,51,270,0.122222222222222
"centre_nord_namentenga",0.142857142857143,0.371428571428571,0.171428571428571,0.257142857142857,1,0.2,0,0.171428571428571,0.114285714285714,0.885714285714286,1,0.257142857142857,0.393939393939394,0,0.0571428571428571,0.914285714285714,35,51,278,0.12589928057554
"centre_nord_sanmatenga",0.0163934426229508,0.114754098360656,0.278688524590164,0.245901639344262,0.967213114754098,0.180327868852459,0.114754098360656,0.295081967213115,0.0819672131147541,0.918032786885246,0.950819672131147,0.39344262295082,0.4,0,0.245901639344262,0.934426229508197,61,101,626,0.097444089456869
"est_gnagna",0.028169014084507,0.0985915492957746,0.507042253521127,0.309859154929577,1,0.535211267605634,0,0.28169014084507,0.450704225352113,0.549295774647887,1,0.661971830985915,0.792452830188679,0.0704225352112676,0.830985915492958,0.633802816901408,71,92,341,0.208211143695015
"est_gourma",0.0714285714285714,0.214285714285714,0.178571428571429,0.142857142857143,0.982142857142857,0.446428571428571,0.0357142857142857,0.303571428571429,0.178571428571429,0.821428571428571,0.964285714285714,0.892857142857143,0.735294117647059,0,0.535714285714286,0.839285714285714,56,75,241,0.232365145228216
"est_komonjdjari",0.125,0.125,0.25,0.25,0.875,0.375,0.1875,0.875,0.4375,0.5625,0.8125,0.625,0.75,0.1875,0.375,0.6875,16,18,NA,NA
"est_kompienga",0,0.166666666666667,0.5,0.416666666666667,0.75,0.666666666666667,0.0833333333333333,0.583333333333333,0.5,0.5,0.916666666666667,0.666666666666667,0.777777777777778,0,0.833333333333333,0.666666666666667,12,14,23,0.521739130434783
"est_tapoa",0.0655737704918033,0.163934426229508,0.114754098360656,0.19672131147541,0.983606557377049,0.508196721311475,0.0491803278688525,0.639344262295082,0.0983606557377049,0.901639344262295,0.918032786885246,0.60655737704918,0.461538461538462,0.0163934426229508,0.754098360655738,0.704918032786885,61,75,266,0.229323308270677
"gao_ansongo",0.26530612244898,0.448979591836735,0.510204081632653,0.489795918367347,0.63265306122449,0.959183673469388,0.408163265306122,0.877551020408163,0.530612244897959,0.469387755102041,0.346938775510204,0.326530612244898,0.8,0.224489795918367,0.795918367346939,0.26530612244898,49,49,154,0.318181818181818
"gao_bourem",0.0465116279069767,0.13953488372093,0.581395348837209,0.441860465116279,0.767441860465116,0.790697674418605,0.27906976744186,0.697674418604651,0.27906976744186,0.697674418604651,0.418604651162791,0.325581395348837,0.5,0.116279069767442,0.604651162790698,0.302325581395349,43,43,184,0.233695652173913
"gao_gao",0.0919540229885057,0.137931034482759,0.367816091954023,0.183908045977011,0.816091954022989,0.528735632183908,0.218390804597701,0.701149425287356,0.195402298850575,0.804597701149425,0.551724137931034,0.264367816091954,0.631578947368421,0.114942528735632,0.528735632183908,0.459770114942529,87,88,201,0.432835820895522
"menaka_anderamboukane",0.166666666666667,0.333333333333333,0.583333333333333,0.666666666666667,0.583333333333333,0.75,0.75,0.916666666666667,0.5,0.5,0,0.666666666666667,0.75,0.166666666666667,0.916666666666667,0,12,12,14,0.857142857142857
"menaka_inekar",0,0.555555555555556,0.444444444444444,0.444444444444444,0.333333333333333,0.666666666666667,0.666666666666667,0.888888888888889,0.333333333333333,0.666666666666667,0,0.555555555555556,0.6,0,0.777777777777778,0.111111111111111,9,10,11,0.818181818181818
"menaka_menaka",0,0.4,0.6,0.6,0.4,0.7,0.6,1,0.2,0.8,0.2,0.3,1,0.1,0.8,0.1,10,10,16,0.625
"menaka_tidermene",0.222222222222222,0.555555555555556,0.666666666666667,0.666666666666667,0.333333333333333,0.777777777777778,0.888888888888889,0.777777777777778,0.444444444444444,0.555555555555556,0.111111111111111,0.777777777777778,0.8,0,0.888888888888889,0,9,10,10,0.9
"mopti_bandiagara",0.125,0.35,0.425,0.75,0.825,1,0.125,1,0,1,0.65,0.425,0.973684210526316,0,0.425,1,40,40,573,0.0698080279232112
