State_Id;id_grid;idp_refugie_last_month;idp_refugie_3_months;food_access_no;mean_existence_access_no;market_access;security_feeling_no;health_access_no;education_access_no;diff_info_access;diff_info_access_no;nutri_programme;enough_water_access_no;pdi_vivant_cond_adeq_no;abris_dommages;procuration_savon;tel_mobile;settlement_assessed_num;ki_num
Sahel3666;1810;0,0000000;1,00000000;1,0000000;1,00000000;1,0000000;1,0000000;0,0000000;1,00000000;1,00000000;0,0000000;1,0000000;1,00000000;1,0000000;0,00000000;1,0000000;1,0000000;16; 2
Sahel3667;1811;0,0000000;0,00000000;0,6666667;0,33333333;1,0000000;0,6666667;0,0000000;0,33333333;0,33333333;0,6666667;1,0000000;0,00000000;NA;0,00000000;0,3333333;0,0000000;16; 4
Sahel3814;1944;0,0000000;0,00000000;1,0000000;1,00000000;1,0000000;1,0000000;0,0000000;1,00000000;1,00000000;0,0000000;1,0000000;1,00000000;1,0000000;0,00000000;1,0000000;0,0000000;16; 1
Sahel3815;1945;0,3333333;0,33333333;1,0000000;1,00000000;0,3333333;0,6666667;1,0000000;1,00000000;1,00000000;0,0000000;0,0000000;0,33333333;0,5000000;0,00000000;1,0000000;0,3333333;16; 4
Sahel3816;1946;0,0000000;1,00000000;0,0000000;1,00000000;1,0000000;1,0000000;1,0000000;1,00000000;0,00000000;1,0000000;0,0000000;1,00000000;0,0000000;0,00000000;0,0000000;0,0000000;16; 1
Sahel3961;2077;1,0000000;1,00000000;1,0000000;1,00000000;0,0000000;1,0000000;1,0000000;1,00000000;1,00000000;0,0000000;0,0000000;1,00000000;1,0000000;0,00000000;1,0000000;0,0000000;16; 2
Segou2891;1108;0,0000000;1,00000000;0,0000000;0,00000000;1,0000000;1,0000000;0,0000000;0,00000000;0,00000000;1,0000000;1,0000000;0,00000000;0,5000000;0,00000000;0,0000000;1,0000000;16; 2
Segou2892;1109;0,0000000;0,00000000;0,3333333;0,33333333;0,6666667;1,0000000;0,6666667;0,00000000;0,00000000;1,0000000;0,3333333;0,00000000;NA;0,00000000;0,0000000;0,6666667;16; 3
Segou3043;1240;0,0000000;0,00000000;0,0000000;0,00000000;1,0000000;1,0000000;0,0000000;0,00000000;0,00000000;1,0000000;1,0000000;0,50000000;1,0000000;0,00000000;0,0000000;1,0000000;16; 2
Segou3044;1241;0,0000000;1,00000000;0,0000000;0,00000000;0,0000000;1,0000000;0,5000000;1,00000000;0,00000000;1,0000000;0,0000000;1,00000000;1,0000000;0,50000000;1,0000000;1,0000000;16; 2
Segou3193;1376;0,0000000;0,00000000;0,5000000;0,50000000;0,5000000;1,0000000;0,5000000;0,50000000;0,00000000;1,0000000;0,5000000;0,00000000;0,0000000;0,00000000;0,0000000;1,0000000;16; 2
Segou3338;1507;0,0000000;0,00000000;1,0000000;1,00000000;0,0000000;1,0000000;1,0000000;1,00000000;0,00000000;1,0000000;1,0000000;1,00000000;NA;0,00000000;1,0000000;1,0000000;16; 1
Tahoua4140;2243;0,0000000;0,00000000;1,0000000;1,00000000;1,0000000;1,0000000;0,0000000;0,00000000;0,00000000;1,0000000;0,0000000;0,00000000;NA;0,00000000;0,0000000;1,0000000;16; 1
Tahoua4142;2245;0,0000000;0,00000000;1,0000000;1,00000000;1,0000000;0,0000000;0,0000000;0,00000000;0,00000000;1,0000000;1,0000000;0,00000000;NA;0,00000000;0,0000000;1,0000000;16; 2
Tahoua4143;2246;0,0000000;0,00000000;0,0000000;0,00000000;1,0000000;0,0000000;0,0000000;0,00000000;0,00000000;1,0000000;1,0000000;1,00000000;NA;0,00000000;0,0000000;1,0000000;16; 2
Tahoua4288;2364;0,0000000;0,00000000;1,0000000;1,00000000;1,0000000;0,0000000;1,0000000;1,00000000;0,00000000;1,0000000;1,0000000;1,00000000;NA;0,00000000;1,0000000;0,0000000;16; 2
Tahoua4291;2367;0,0000000;0,00000000;0,3333333;0,66666667;0,6666667;0,0000000;0,0000000;0,00000000;0,33333333;0,6666667;0,6666667;0,00000000;0,0000000;0,00000000;0,0000000;0,6666667;16; 7
Tahoua4292;2368;0,0000000;0,00000000;0,0000000;0,00000000;1,0000000;0,0000000;0,0000000;0,00000000;0,00000000;1,0000000;1,0000000;0,00000000;NA;1,00000000;0,0000000;1,0000000;16; 1
Tahoua4293;2369;0,0000000;0,00000000;0,0000000;0,00000000;1,0000000;0,5000000;0,0000000;0,00000000;0,50000000;0,5000000;0,5000000;0,00000000;NA;0,50000000;0,0000000;0,5000000;16; 3
Tahoua4439;2471;0,0000000;0,00000000;1,0000000;0,00000000;0,0000000;1,0000000;1,0000000;1,00000000;1,00000000;0,0000000;0,0000000;1,00000000;NA;0,00000000;1,0000000;1,0000000;16; 1
Tahoua4443;2475;0,0000000;0,00000000;0,0000000;0,00000000;1,0000000;1,0000000;0,0000000;0,00000000;0,00000000;1,0000000;1,0000000;0,00000000;NA;0,00000000;0,0000000;1,0000000;16; 1
Tahoua4589;2577;0,0000000;0,00000000;1,0000000;1,00000000;1,0000000;1,0000000;1,0000000;1,00000000;0,00000000;1,0000000;0,0000000;1,00000000;NA;0,00000000;1,0000000;1,0000000;16; 2
Tahoua4590;2578;1,0000000;1,00000000;0,0000000;0,00000000;1,0000000;1,0000000;0,0000000;0,00000000;1,00000000;0,0000000;1,0000000;1,00000000;0,0000000;0,00000000;0,0000000;1,0000000;16; 1
Tahoua4591;2579;0,0000000;0,00000000;0,5000000;0,50000000;1,0000000;0,5000000;0,0000000;0,00000000;0,50000000;0,5000000;0,5000000;0,50000000;NA;0,00000000;0,5000000;1,0000000;16; 4
Tahoua4738;2684;0,0000000;0,00000000;0,0000000;0,00000000;1,0000000;0,0000000;0,0000000;0,00000000;1,00000000;0,0000000;1,0000000;0,00000000;NA;0,00000000;0,0000000;1,0000000;16; 3
Tahoua4741;2687;1,0000000;1,00000000;0,0000000;1,00000000;1,0000000;0,0000000;0,0000000;0,00000000;0,00000000;1,0000000;1,0000000;0,00000000;0,0000000;0,00000000;0,0000000;1,0000000;16; 2
Tahoua4890;2795;0,0000000;0,00000000;1,0000000;1,00000000;1,0000000;1,0000000;1,0000000;1,00000000;1,00000000;0,0000000;0,0000000;0,00000000;NA;0,00000000;1,0000000;0,0000000;16; 3
Tahoua4892;2797;0,0000000;0,00000000;1,0000000;1,00000000;1,0000000;1,0000000;0,0000000;0,00000000;0,00000000;1,0000000;0,0000000;0,00000000;NA;0,00000000;1,0000000;1,0000000;16; 1
Tahoua4894;2799;0,5000000;0,50000000;0,5000000;1,00000000;0,5000000;0,5000000;0,5000000;0,00000000;0,50000000;0,5000000;0,5000000;0,50000000;0,0000000;0,00000000;1,0000000;0,5000000;16; 4
Tahoua4896;2801;0,5000000;0,50000000;1,0000000;1,00000000;0,5000000;0,5000000;0,5000000;0,00000000;0,00000000;1,0000000;0,5000000;0,00000000;0,0000000;0,00000000;1,0000000;1,0000000;16; 3
Tahoua4897;2802;0,0000000;0,00000000;1,0000000;1,00000000;0,0000000;1,0000000;1,0000000;1,00000000;1,00000000;0,0000000;0,0000000;1,00000000;NA;0,00000000;1,0000000;0,0000000;16; 1
Tahoua4898;2803;0,0000000;0,00000000;1,0000000;1,00000000;0,0000000;1,0000000;0,0000000;0,00000000;0,00000000;1,0000000;0,0000000;1,00000000;NA;0,00000000;1,0000000;1,0000000;16; 1
Tahoua5043;2909;0,0000000;0,00000000;1,0000000;1,00000000;1,0000000;1,0000000;1,0000000;1,00000000;1,00000000;0,0000000;0,0000000;1,00000000;NA;0,00000000;1,0000000;0,0000000;16; 2
Tahoua5045;2911;0,0000000;0,00000000;1,0000000;0,66666667;1,0000000;0,0000000;0,0000000;0,00000000;0,33333333;0,6666667;0,6666667;0,00000000;0,5000000;0,33333333;0,6666667;0,6666667;16; 6
Tahoua5047;2913;0,0000000;0,00000000;1,0000000;1,00000000;0,0000000;1,0000000;1,0000000;1,00000000;1,00000000;0,0000000;0,0000000;0,00000000;NA;0,00000000;1,0000000;0,0000000;16; 1
Tahoua5190;3017;0,0000000;0,00000000;0,0000000;0,00000000;1,0000000;0,0000000;0,0000000;0,00000000;0,00000000;1,0000000;1,0000000;0,00000000;NA;0,00000000;0,0000000;1,0000000;16; 1
Tahoua5192;3019;0,0000000;0,00000000;1,0000000;1,00000000;0,0000000;0,0000000;0,0000000;1,00000000;0,00000000;1,0000000;0,0000000;0,00000000;NA;0,00000000;1,0000000;0,0000000;16; 1
Tahoua5193;3020;0,0000000;0,00000000;1,0000000;1,00000000;0,0000000;1,0000000;0,0000000;0,00000000;0,00000000;1,0000000;0,0000000;0,00000000;0,0000000;0,00000000;0,0000000;1,0000000;16; 5
Tahoua5195;3022;0,0000000;0,00000000;0,0000000;0,00000000;1,0000000;0,0000000;0,0000000;0,00000000;0,00000000;1,0000000;1,0000000;0,00000000;NA;0,00000000;0,0000000;1,0000000;16; 3
Tahoua5196;3023;0,0000000;0,00000000;1,0000000;1,00000000;1,0000000;0,0000000;0,0000000;0,00000000;0,00000000;1,0000000;0,0000000;0,00000000;NA;0,00000000;1,0000000;1,0000000;16; 1
Tahoua5345;3135;0,0000000;0,00000000;1,0000000;1,00000000;0,0000000;1,0000000;1,0000000;0,00000000;1,00000000;0,0000000;0,0000000;1,00000000;NA;0,00000000;1,0000000;0,0000000;16; 1
